iter	RMSE
0	12176.5025
1	11895.1138
2	11630.3434
3	11360.34354
4	11160.68184
5	10933.9349
6	10701.9014
7	10465.50631
8	10245.01446
9	10018.81389
10	9809.43495
11	9632.008154
12	9429.630265
13	9240.193093
14	9068.390398
15	8885.222713
16	8700.611456
17	8539.414769
18	8394.346112
19	8228.272984
20	8071.546317
21	7926.10101
22	7775.026942
23	7644.655806
24	7513.585292
25	7375.68377
26	7260.349466
27	7138.355662
28	7020.361441
29	6911.45301
30	6799.80461
31	6700.760596
32	6604.355989
33	6513.159138
34	6415.6554
35	6318.564886
36	6232.901623
37	6162.943965
38	6075.001799
39	5993.881441
40	5910.110385
41	5840.591857
42	5765.003579
43	5695.442749
44	5628.747832
45	5569.140165
46	5512.27846
47	5454.763457
48	5391.410382
49	5332.210835
50	5277.720596
51	5232.722763
52	5187.399964
53	5141.601326
54	5101.252148
55	5061.856102
56	5023.924515
57	4980.331559
58	4941.738318
59	4909.199803
60	4873.100408
61	4837.696992
62	4801.591047
63	4768.851351
64	4739.341465
65	4715.150258
66	4686.561372
67	4662.901237
68	4635.224533
69	4607.419902
70	4581.67829
71	4559.539278
72	4541.164124
73	4516.243679
74	4500.128624
75	4477.570588
76	4463.284797
77	4448.114706
78	4429.123125
79	4411.636577
80	4394.323112
81	4378.042249
82	4363.810164
83	4350.052068
84	4337.225912
85	4324.01236
86	4309.992069
87	4298.03742
88	4289.127236
89	4276.118277
90	4266.446622
91	4254.095663
92	4246.979097
93	4235.058314
94	4225.364652
95	4214.011547
96	4203.583552
97	4193.558256
98	4181.036459
99	4167.511577
100	4160.43831
101	4150.067111
102	4141.83111
103	4133.542304
104	4128.507932
105	4120.901315
106	4115.690181
107	4109.839998
108	4100.518749
109	4094.357409
110	4088.246774
111	4082.835014
112	4077.458908
113	4070.507635
114	4066.720081
115	4061.798503
116	4056.346764
117	4046.887815
118	4038.016383
119	4033.250555
120	4029.856983
121	4024.706981
122	4019.223579
123	4014.259745
124	4009.790747
125	4005.436734
126	4000.110988
127	3995.4777
128	3987.702641
129	3983.129751
130	3979.01817
131	3974.124945
132	3968.731446
133	3963.251265
134	3960.78909
135	3958.421364
136	3953.00111
137	3951.274058
138	3949.590293
139	3945.460356
140	3940.151482
141	3936.922488
142	3934.820045
143	3933.597995
144	3931.088023
145	3926.035427
146	3921.154801
147	3915.923689
148	3912.380219
149	3907.925002
150	3905.245226
151	3902.950163
152	3898.987913
153	3895.632166
154	3891.625293
155	3888.628442
156	3883.972284
157	3879.863544
158	3877.472055
159	3872.872182
160	3868.40059
161	3862.590221
162	3857.00765
163	3854.281218
164	3849.082339
165	3844.667926
166	3839.593651
167	3834.106678
168	3830.721027
169	3827.712162
170	3824.158268
171	3820.28237
172	3815.334486
173	3812.830677
174	3808.260236
175	3806.782226
176	3804.568339
177	3798.973193
178	3794.62233
179	3791.869242
180	3789.245635
181	3786.811244
182	3782.884025
183	3781.377927
184	3777.096551
185	3773.90918
186	3771.526433
187	3767.104279
188	3762.859715
189	3758.733272
190	3755.933909
191	3751.860851
192	3749.854079
193	3748.365805
194	3745.305364
195	3743.261513
196	3740.27972
197	3735.245621
198	3731.142991
199	3728.291523
200	3724.620903
201	3723.220814
202	3718.337296
203	3716.250144
204	3714.624848
205	3710.594158
206	3705.939971
207	3702.958913
208	3699.964613
209	3698.099804
210	3693.582665
211	3691.492559
212	3687.880976
213	3685.618642
214	3682.238175
215	3678.732675
216	3678.12858
217	3676.183755
218	3673.472347
219	3671.271456
220	3668.657356
221	3666.578466
222	3660.451178
223	3658.35803
224	3656.599393
225	3653.791921
226	3649.502744
227	3646.909825
228	3642.377678
229	3639.456268
230	3637.296459
231	3634.105301
232	3630.999363
233	3627.064869
234	3623.127925
235	3619.616577
236	3614.494038
237	3612.610569
238	3607.827204
239	3604.267966
240	3600.494028
241	3595.986023
242	3591.009336
243	3587.535377
244	3583.170242
245	3581.352988
246	3579.875535
247	3575.992292
248	3572.713237
249	3570.427026
250	3568.408002
251	3562.824764
252	3558.278174
253	3555.262087
254	3550.560074
255	3548.357381
256	3544.625345
257	3539.506906
258	3535.800523
259	3531.599073
260	3528.685225
261	3525.382859
262	3522.848621
263	3520.636865
264	3519.180736
265	3516.148239
266	3512.257975
267	3508.511693
268	3504.284535
269	3501.467321
270	3496.604242
271	3493.652254
272	3491.343895
273	3486.43428
274	3483.918803
275	3478.414902
276	3476.144522
277	3472.149976
278	3467.437509
279	3465.753525
280	3462.770134
281	3460.057542
282	3457.404895
283	3455.63494
284	3453.842862
285	3451.009222
286	3448.277558
287	3445.767034
288	3442.242311
289	3439.517041
290	3436.869659
291	3434.253908
292	3431.500812
293	3429.980211
294	3426.507955
295	3423.402406
296	3421.341299
297	3419.664823
298	3417.087601
299	3411.64393
300	3408.879747
301	3405.613327
302	3403.927001
303	3401.685133
304	3397.843897
305	3395.040846
306	3392.061312
307	3387.123808
308	3385.189082
309	3381.59972
310	3379.671579
311	3377.424282
312	3374.756729
313	3373.005409
314	3365.414999
315	3360.465605
316	3357.451594
317	3355.053542
318	3352.839568
319	3349.157596
320	3347.031376
321	3344.208027
322	3339.750816
323	3338.210395
324	3333.443559
325	3331.691849
326	3329.914413
327	3328.199304
328	3325.498449
329	3323.747681
330	3320.4773
331	3318.806759
332	3316.75482
333	3314.295874
334	3309.114558
335	3305.126918
336	3300.133793
337	3297.659771
338	3295.910784
339	3292.973366
340	3288.731121
341	3285.517108
342	3282.613495
343	3281.407853
344	3279.930799
345	3275.330006
346	3272.25477
347	3269.602526
348	3268.285643
349	3266.62474
350	3261.065025
351	3259.662506
352	3254.866563
353	3252.128181
354	3250.173779
355	3248.403151
356	3246.028272
357	3241.493588
358	3237.971951
359	3236.464447
360	3234.950983
361	3230.336732
362	3228.783868
363	3225.621618
364	3224.420838
365	3223.10777
366	3221.022556
367	3219.135842
368	3213.22475
369	3211.614771
370	3208.868496
371	3205.476389
372	3200.604879
373	3196.169112
374	3190.461664
375	3189.153847
376	3186.820965
377	3185.401761
378	3182.70661
379	3179.432916
380	3177.933819
381	3175.789158
382	3171.171879
383	3166.432903
384	3164.397838
385	3163.125997
386	3161.974143
387	3157.286375
388	3155.203766
389	3153.772391
390	3152.491027
391	3150.738485
392	3149.250278
393	3148.086934
394	3145.330746
395	3141.10907
396	3139.727369
397	3138.067003
398	3136.825243
399	3135.412123
400	3134.053892
401	3131.831318
402	3129.853311
403	3128.547527
404	3127.110521
405	3125.812273
406	3123.502654
407	3122.245158
408	3118.739907
409	3117.463428
410	3116.182798
411	3109.114734
412	3107.88956
413	3106.163952
414	3104.746881
415	3098.880885
416	3095.857508
417	3094.644923
418	3091.967042
419	3086.861248
420	3083.985911
421	3082.881524
422	3077.359775
423	3075.849688
424	3074.654709
425	3073.469975
426	3072.267874
427	3068.314575
428	3064.021053
429	3058.80138
430	3053.856752
431	3052.695677
432	3051.365707
433	3047.150967
434	3043.458153
435	3041.998439
436	3037.82152
437	3036.679026
438	3035.572462
439	3030.059764
440	3028.514021
441	3023.940625
442	3022.484561
443	3021.198481
444	3018.897383
445	3015.861222
446	3013.700666
447	3012.489353
448	3011.2297
449	3006.943269
450	3004.248768
451	3003.147931
452	3000.104189
453	2997.083436
454	2995.8915
455	2994.750301
456	2991.889727
457	2990.515501
458	2988.25838
459	2984.840989
460	2983.633435
461	2980.715009
462	2978.458766
463	2974.108577
464	2968.807932
465	2967.843334
466	2963.381179
467	2962.319286
468	2957.508814
469	2956.399946
470	2951.386384
471	2950.034936
472	2949.37199
473	2948.28239
474	2943.59177
475	2938.945495
476	2936.345116
477	2932.031848
478	2928.97303
479	2924.429663
480	2922.722711
481	2920.267721
482	2919.333847
483	2914.805354
484	2911.207297
485	2910.033113
486	2908.994423
487	2907.662318
488	2904.079762
489	2900.604095
490	2897.943276
491	2895.985801
492	2892.109885
493	2889.017723
494	2885.216411
495	2883.144686
496	2882.126217
497	2877.522029
498	2876.394042
499	2875.110704
500	2874.292878
501	2871.500856
502	2870.179362
503	2869.344496
504	2867.52232
505	2865.141692
506	2864.187372
507	2861.501921
508	2860.680384
509	2859.870738
510	2856.81728
511	2855.540184
512	2854.266515
513	2851.186537
514	2849.295217
515	2845.655709
516	2841.59279
517	2840.729677
518	2837.992916
519	2836.854477
520	2836.056954
521	2831.828105
522	2831.044308
523	2829.232286
524	2828.366081
525	2824.583577
526	2821.999302
527	2821.230436
528	2817.689625
529	2815.735865
530	2815.031435
531	2809.510374
532	2808.574486
533	2805.98246
534	2803.222376
535	2802.466014
536	2797.320513
537	2794.911117
538	2794.153542
539	2792.191743
540	2790.601162
541	2789.608036
542	2786.550411
543	2784.603506
544	2783.815734
545	2780.037769
546	2779.303458
547	2777.538029
548	2774.987288
549	2770.745083
550	2769.587247
551	2767.832607
552	2763.852562
553	2760.191928
554	2757.990341
555	2757.230061
556	2754.861696
557	2752.803299
558	2751.903721
559	2751.112069
560	2748.644552
561	2747.487892
562	2745.274555
563	2744.167074
564	2742.17188
565	2738.744651
566	2738.052027
567	2735.277157
568	2731.99989
569	2731.307446
570	2728.773611
571	2725.119387
572	2723.317323
573	2719.706383
574	2717.942741
575	2715.393651
576	2712.738132
577	2710.962448
578	2709.733626
579	2708.964643
580	2708.279928
581	2706.691155
582	2706.051172
583	2702.976969
584	2702.176046
585	2701.347627
586	2698.990244
587	2698.284907
588	2696.786381
589	2694.329519
590	2693.491251
591	2688.748269
592	2686.708844
593	2684.10657
594	2683.264562
595	2680.424035
596	2676.997195
597	2676.364476
598	2674.951765
599	2672.478561
600	2671.302861
601	2669.6852
602	2668.403641
603	2666.632384
604	2663.878874
605	2663.273516
606	2662.324771
607	2658.839935
608	2657.743677
609	2656.462579
610	2653.174212
611	2652.575005
612	2650.619499
613	2649.097277
614	2648.269338
615	2647.695247
616	2643.413013
617	2642.527749
618	2639.155526
619	2636.831985
620	2636.252939
621	2635.695951
622	2634.04251
623	2629.277789
624	2625.272991
625	2623.456325
626	2622.533565
627	2620.765945
628	2620.22489
629	2619.517532
630	2618.263936
631	2617.675189
632	2616.668487
633	2614.830614
634	2613.349993
635	2610.802387
636	2608.423204
637	2607.68454
638	2605.272632
639	2602.567891
640	2600.879061
641	2600.347275
642	2599.564801
643	2598.69204
644	2597.207595
645	2596.622477
646	2595.238612
647	2594.658329
648	2591.546882
649	2590.263027
650	2589.617196
651	2589.048399
652	2587.530875
653	2586.834418
654	2584.580629
655	2583.936971
656	2582.050562
657	2581.507466
658	2581.026767
659	2579.926197
660	2579.245005
661	2577.845511
662	2575.195159
663	2574.146057
664	2573.403127
665	2572.864172
666	2571.912269
667	2570.522527
668	2566.249666
669	2565.734529
670	2563.945041
671	2563.077484
672	2561.044613
673	2558.639204
674	2558.107285
675	2556.617025
676	2555.114346
677	2554.654215
678	2551.687498
679	2551.201956
680	2550.340179
681	2549.184933
682	2547.981938
683	2547.507504
684	2543.220341
685	2542.497948
686	2541.491232
687	2540.554199
688	2539.261876
689	2537.724879
690	2536.753689
691	2533.389635
692	2528.741881
693	2527.976697
694	2527.098308
695	2526.083282
696	2525.340388
697	2523.097359
698	2519.918607
699	2517.668621
700	2515.645072
701	2514.964569
702	2514.023853
703	2511.269791
704	2510.596737
705	2509.042163
706	2508.394621
707	2507.664745
708	2505.843175
709	2502.945165
710	2500.09114
711	2496.794016
712	2495.825303
713	2494.359637
714	2493.05834
715	2490.124612
716	2489.481308
717	2488.559428
718	2487.63379
719	2483.983486
720	2481.227521
721	2480.781012
722	2478.591487
723	2476.250478
724	2474.484832
725	2471.597868
726	2467.923497
727	2467.179258
728	2466.610881
729	2465.377602
730	2462.633173
731	2458.238279
732	2457.349099
733	2456.548913
734	2454.620365
735	2451.660089
736	2450.069984
737	2448.407038
738	2447.043571
739	2445.437358
740	2444.253758
741	2442.748184
742	2440.56989
743	2439.613851
744	2437.489158
745	2436.483307
746	2435.645114
747	2435.06487
748	2431.536219
749	2430.845948
750	2427.708393
751	2426.207681
752	2424.869652
753	2423.84346
754	2421.507469
755	2420.153826
756	2419.022691
757	2416.35102
758	2415.822174
759	2414.426825
760	2413.835314
761	2413.056638
762	2410.729288
763	2409.07168
764	2406.229753
765	2405.406795
766	2402.779018
767	2402.262001
768	2401.756997
769	2400.606421
770	2399.551896
771	2399.145566
772	2397.755454
773	2393.818226
774	2391.341799
775	2389.870655
776	2388.935138
777	2387.4766
778	2385.937284
779	2385.070989
780	2383.579535
781	2383.098142
782	2382.522488
783	2382.129965
784	2379.871938
785	2379.458283
786	2378.575123
787	2376.187858
788	2375.0577
789	2373.816572
790	2373.058222
791	2372.638278
792	2370.346346
793	2369.185151
794	2368.287085
795	2367.839698
796	2365.289968
797	2363.400725
798	2361.032705
799	2358.024048
800	2356.680338
801	2354.919763
802	2352.428622
803	2350.076627
804	2347.768937
805	2346.685389
806	2343.715065
807	2339.317751
808	2338.129238
809	2336.766299
810	2335.553727
811	2333.651881
812	2329.735183
813	2328.274475
814	2327.607335
815	2327.147354
816	2324.998339
817	2324.596647
818	2323.314848
819	2321.368643
820	2320.57641
821	2318.019306
822	2316.087507
823	2312.415901
824	2311.621276
825	2309.842517
826	2306.24715
827	2305.164918
828	2304.470746
829	2303.205201
830	2302.737128
831	2302.151061
832	2300.111536
833	2299.198701
834	2297.616951
835	2296.324712
836	2294.512796
837	2292.364245
838	2291.134362
839	2290.28146
840	2288.557594
841	2287.17022
842	2283.929664
843	2280.801772
844	2279.805688
845	2279.451094
846	2278.166703
847	2277.046541
848	2274.566085
849	2270.826128
850	2270.209776
851	2268.966987
852	2266.724917
853	2266.252268
854	2265.237694
855	2262.850627
856	2260.04518
857	2258.732005
858	2258.316673
859	2257.182195
860	2256.009933
861	2253.530847
862	2251.403126
863	2250.62868
864	2248.95875
865	2248.508145
866	2247.776717
867	2247.211884
868	2246.710735
869	2245.933076
870	2244.548392
871	2244.191874
872	2243.41615
873	2241.594787
874	2239.256198
875	2238.517657
876	2237.266968
877	2236.288406
878	2231.81304
879	2230.713555
880	2227.835502
881	2227.22843
882	2224.910328
883	2224.135379
884	2222.113441
885	2221.881029
886	2219.822634
887	2217.779508
888	2217.153364
889	2216.070959
890	2214.103883
891	2213.582536
892	2210.984326
893	2209.594481
894	2207.977712
895	2207.627993
896	2205.380717
897	2202.901443
898	2198.851748
899	2197.911572
900	2196.666729
901	2195.005359
902	2193.854077
903	2192.874653
904	2192.078661
905	2191.048603
906	2187.981477
907	2186.685955
908	2185.993284
909	2184.721188
910	2184.08188
911	2181.129317
912	2178.078923
913	2177.817979
914	2177.260628
915	2176.039996
916	2175.690316
917	2175.179459
918	2174.401711
919	2173.863887
920	2173.209446
921	2172.188078
922	2171.382317
923	2169.444125
924	2166.76097
925	2165.493593
926	2163.152456
927	2159.862623
928	2159.244502
929	2156.253964
930	2153.848459
931	2151.614544
932	2150.851843
933	2150.245066
934	2148.032039
935	2147.465547
936	2146.788393
937	2144.578461
938	2143.207527
939	2142.535015
940	2142.197673
941	2140.906474
942	2140.153296
943	2137.664108
944	2137.415854
945	2135.012813
946	2134.650556
947	2133.774192
948	2131.19412
949	2130.177073
950	2129.151682
951	2125.986168
952	2125.36175
953	2124.810915
954	2122.702246
955	2121.981006
956	2119.95872
957	2119.10547
958	2116.203587
959	2115.883484
960	2115.492994
961	2114.94921
962	2114.440457
963	2111.524817
964	2109.755113
965	2109.329877
966	2108.752923
967	2107.743469
968	2106.822933
969	2104.81864
970	2103.695662
971	2103.226726
972	2102.848637
973	2100.005264
974	2099.112537
975	2098.398751
976	2097.389568
977	2096.362296
978	2095.302049
979	2093.293425
980	2092.774397
981	2092.081162
982	2091.279601
983	2090.840317
984	2090.225022
985	2088.155267
986	2086.967821
987	2086.308369
988	2084.174104
989	2083.904777
990	2082.789218
991	2081.819542
992	2081.142339
993	2080.506388
994	2080.030468
995	2078.969276
996	2078.31792
997	2077.716066
998	2077.205926
999	2076.63742
