iter	Passed	Remaining
0	2	2582
1	6	3055
2	9	3174
3	13	3240
4	16	3344
5	20	3339
6	23	3334
7	26	3334
8	30	3333
9	34	3378
10	37	3381
11	40	3370
12	44	3364
13	47	3367
14	51	3362
15	54	3358
16	57	3352
17	61	3344
18	64	3337
19	68	3335
20	71	3329
21	74	3326
22	78	3325
23	81	3319
24	84	3314
25	88	3313
26	91	3311
27	95	3312
28	98	3308
29	102	3306
30	105	3303
31	109	3297
32	112	3294
33	115	3290
34	119	3286
35	122	3281
36	125	3275
37	129	3270
38	132	3265
39	135	3260
40	139	3254
41	142	3248
42	145	3243
43	148	3236
44	152	3230
45	155	3225
46	158	3219
47	162	3214
48	165	3209
49	168	3205
50	172	3201
51	175	3197
52	179	3200
53	182	3196
54	185	3191
55	189	3187
56	192	3183
57	195	3179
58	199	3174
59	202	3171
60	205	3167
61	209	3163
62	212	3160
63	215	3156
64	219	3152
65	222	3148
66	225	3143
67	229	3139
68	232	3137
69	235	3134
70	239	3129
71	242	3126
72	245	3122
73	249	3117
74	252	3113
75	255	3110
76	259	3105
77	262	3101
78	265	3096
79	268	3092
80	272	3087
81	276	3091
82	279	3088
83	282	3085
84	286	3080
85	289	3077
86	292	3073
87	296	3069
88	299	3065
89	303	3066
90	307	3069
91	311	3070
92	314	3065
93	318	3065
94	322	3070
95	326	3072
96	330	3075
97	333	3071
98	337	3069
99	340	3065
100	343	3061
101	347	3056
102	350	3053
103	353	3048
104	357	3050
105	361	3048
106	364	3045
107	368	3042
108	371	3040
109	375	3038
110	379	3042
111	383	3039
112	386	3035
113	390	3032
114	393	3028
115	397	3030
116	401	3027
117	404	3024
118	408	3023
119	412	3022
120	415	3020
121	420	3022
122	423	3018
123	426	3014
124	430	3011
125	434	3015
126	438	3015
127	442	3011
128	445	3009
129	449	3008
130	452	3004
131	456	3003
132	460	3000
133	463	2996
134	467	2997
135	471	2996
136	475	2997
137	479	2995
138	483	2997
139	487	2995
140	491	2993
141	494	2989
142	498	2989
143	502	2989
144	507	2993
145	511	2992
146	515	2991
147	519	2990
148	523	2992
149	527	2991
150	531	2987
151	536	2991
152	540	2994
153	545	2997
154	549	2994
155	552	2990
156	556	2985
157	559	2982
158	563	2981
159	567	2978
160	570	2974
161	574	2969
162	578	2969
163	582	2966
164	585	2962
165	589	2961
166	593	2961
167	598	2962
168	602	2961
169	606	2962
170	610	2957
171	613	2952
172	616	2947
173	619	2943
174	623	2940
175	627	2939
176	632	2938
177	635	2934
178	638	2929
179	641	2924
180	645	2919
181	648	2914
182	651	2909
183	653	2899
184	657	2894
185	660	2889
186	663	2885
187	667	2880
188	670	2876
189	673	2871
190	676	2866
191	680	2861
192	683	2857
